ID_cobra,CodigoMunicipio,IMN_2020
c01_1,9003,Muy bajo
c02_1,9010,Muy bajo
c03_1,9016,Muy bajo
c04_1,9010,Muy bajo
c05_4,15099,Muy bajo
c06_4,15037,Muy bajo
c08_1,9003,Muy bajo
c09_1,9002,Muy bajo
c12_1,9008,Muy bajo
c14_1,9003,Muy bajo
c15_4,9014,Muy bajo
c16_5,9015,Muy bajo
c17_1,9012,Muy bajo
c18_1,9016,Muy bajo
c21_1,9014,Muy bajo
c22_1,9003,Muy bajo
c23_1,9014,Muy bajo
c25_1,9012,Muy bajo
c26_1,9007,Muy bajo
c28_1,9014,Muy bajo
c29_4,12081,Muy alto
c30_1,9014,Muy bajo
c31_1,9012,Muy bajo
c32_1,9014,Muy bajo
c33_5,9012,Muy bajo
c34_5,9012,Muy bajo
c36_4,13003,Muy bajo
c37_4,9002,Muy bajo
c40_1,9006,Muy bajo
c42_1,9010,Muy bajo
c43_1,9014,Muy bajo
c46_4,15093,Muy bajo
c47_1,9014,Muy bajo
c49_5,9012,Muy bajo
c50_5,15013,Muy bajo
c52_4,9012,Muy bajo
c53_4,9014,Muy bajo
c54_1,9010,Muy bajo
c55_5,9017,Muy bajo
c56_1,9014,Muy bajo
c57_4,15037,Muy bajo
c58_4,11042,Bajo
c60_4,21114,Muy bajo
c61_4,27014,Muy bajo
c62_1,9012,Muy bajo
c63_1,9016,Muy bajo
c64_1,9007,Muy bajo
c65_4,9015,Muy bajo
c68_5,9012,Muy bajo
c69_4,9012,Muy bajo
s01_5,9003,Muy bajo
s03_1,17012,Muy bajo
s07_4,9006,Muy bajo
s10_4,29005,Muy bajo
s11_4,15010,Muy bajo
s13_5,9012,Muy bajo
s15_1,16061,Medio
s16_5,15039,Muy bajo
s18_1,15081,Muy bajo
s19_1,9005,Muy bajo
s20_4,15081,Muy bajo
s21_4,15033,Muy bajo
s22_1,9007,Muy bajo
s25_5,15033,Muy bajo
s26_5,15033,Muy bajo
s27_1,9005,Muy bajo
s28_4,15033,Muy bajo
s31_1,9014,Muy bajo
s33_4,15035,Muy bajo
s34_1,9007,Muy bajo
s36_1,8017,Muy bajo
s39_5,15031,Muy bajo
s40_5,15090,Muy bajo
s42_4,9013,Muy bajo
s43_4,15057,Muy bajo
s45_1,15033,Muy bajo
s46_4,9013,Muy bajo
s49_1,9011,Muy bajo
s50_1,9012,Muy bajo
s52_5,15100,Bajo
s55_1,15031,Muy bajo
s56_4,17006,Muy bajo
s57_5,15109,Muy bajo
s58_4,9008,Muy bajo
s59_1,17015,Muy bajo
s60_4,9002,Muy bajo
s62_5,15109,Muy bajo
s64_5,9008,Muy bajo
s65_4,9015,Muy bajo
s68_1,9004,Muy bajo
s69_5,16053,Muy bajo
s70_4,9003,Muy bajo
s71_4,9010,Muy bajo
s72_1,15106,Muy bajo
s73_1,15001,Medio
s74_5,15058,Muy bajo
s75_1,9005,Muy bajo
s77_1,9007,Muy bajo
s78_1,15058,Muy bajo
s82_5,9007,Muy bajo
s83_1,12015,Bajo
s86_2,9005,Muy bajo
s88_2,13076,Muy bajo
s90_2,9005,Muy bajo
s91_2,9016,Muy bajo
s92_2,15067,Muy bajo